batch_size,relative_time_s,power_total_W
8,0.0,2619.6600000000003
8,0.1,2206.6905334718545
8,0.2,1649.893434768436
8,0.30000000000000004,1663.805386904949
8,0.4,1669.4713497819694
8,0.5,1663.3840146736088
8,0.6000000000000001,1672.6565178213152
8,0.7000000000000001,1691.697481729736
8,0.8,1689.6165666364047
8,0.9,1680.7968370834228
8,1.0,1661.763411059405
8,1.1,1698.4323504477243
8,1.2000000000000002,1705.7920103241547
8,1.3,1677.6974488935698
8,1.4000000000000001,1689.7812846390295
8,1.5,1700.8769978531263
8,1.6,1707.3780216883144
8,1.7000000000000002,1686.296156302601
8,1.8,1654.703175185804
8,1.9000000000000001,1660.4482643454558
8,2.0,1682.503370768659
8,2.1,1664.8992688717642
8,2.2,1667.2462639580438
8,2.3000000000000003,1653.0204898869601
8,2.4000000000000004,1595.079141771024
8,2.5,1627.8817077566437
8,2.6,1646.3428761209216
8,2.7,1648.8253734489783
8,2.8000000000000003,1667.1157320777554
8,2.9000000000000004,1667.5736439047635
8,3.0,1666.827246676007
8,3.1,1682.1879921782704
8,3.2,1675.330280431188
8,3.3000000000000003,1683.151755625874
8,3.4000000000000004,1660.591569920749
8,3.5,1684.196988982029
8,3.6,1685.2996604593534
8,3.7,1674.386168616817
8,3.8000000000000003,1666.6859016931548
8,3.9000000000000004,1704.5312563487807
8,4.0,1390.03515504818
8,4.1000000000000005,1375.8025536210391
8,4.2,1868.8912557937044
8,4.3,1658.9614829743227
8,4.4,1652.5610184846116
8,4.5,1681.7824632528325
8,4.6000000000000005,1691.6207558351814
8,4.7,1654.2360041292775
8,4.800000000000001,1664.5386006705255
8,4.9,1902.8729459792812
8,5.0,2033.7621305677999
8,5.1000000000000005,1684.7523506789778
8,5.2,1780.8776197271704
8,5.300000000000001,1866.9807604210882
8,5.4,1708.8348133404813
8,5.5,1650.241210051396
8,5.6000000000000005,1670.0932949472085
8,5.7,1675.6816134247379
8,5.800000000000001,1666.8521450567466
8,5.9,1693.451829066102
8,6.0,1686.4929540743142
8,6.1000000000000005,1652.776308158135
8,6.2,1682.87415396735
8,6.300000000000001,1707.1677013939789
8,6.4,1709.5519353247582
8,6.5,1694.4988892407553
8,6.6000000000000005,1668.150251724713
8,6.7,1643.660123342007
8,6.800000000000001,1645.480833787426
8,6.9,1687.7462406708257
8,7.0,1718.2139695402805
8,7.1000000000000005,1722.8646544150479
8,7.2,1705.5506799333757
8,7.300000000000001,1691.435677663851
8,7.4,1685.4417043429773
8,7.5,1687.381274104998
8,7.6000000000000005,1690.6464696728808
8,7.7,1691.6293103920243
8,7.800000000000001,1665.4278489389167
8,7.9,1594.3198455315555
8,8.0,1669.1145690487936
8,8.1,1662.8262963039392
8,8.200000000000001,1665.506491803443
8,8.3,1677.1086830050565
8,8.4,1665.6939679961492
8,8.5,1667.2122153857517
8,8.6,1684.797627812316
8,8.700000000000001,1675.5597590283585
8,8.8,1662.8516100852587
8,8.9,1648.0194131371452
8,9.0,1652.5438824657763
8,9.1,1663.1963165637271
8,9.200000000000001,1668.9610726079588
8,9.3,1662.9264129740036
8,9.4,1680.9637633946593
8,9.5,1679.2201838231965
8,9.600000000000001,1657.9386969131215
8,9.700000000000001,1674.2113010901298
8,9.8,1695.1316554483285
8,9.9,1676.8725156305547
8,10.0,1669.6801459524245
8,10.100000000000001,1682.3772254681055
8,10.200000000000001,1669.5757929925562
8,10.3,1672.6685838616438
8,10.4,1667.339696512268
8,10.5,1687.0816340804354
8,10.600000000000001,1678.8842482385905
8,10.700000000000001,1683.6162644622157
8,10.8,1707.4817454521192
8,10.9,1691.0344938793696
8,11.0,1685.65116303014
8,11.100000000000001,1688.893633888297
8,11.200000000000001,1680.0609605105954
8,11.3,1676.012697175631
8,11.4,1661.2014873257826
8,11.5,1667.399285229886
8,11.600000000000001,1681.7541963971175
8,11.700000000000001,1673.0925661734955
8,11.8,1670.1021050390193
8,11.9,1679.0259666125762
8,12.0,1693.772440441299
8,12.100000000000001,1690.7556649072142
8,12.200000000000001,1630.7185946719517
8,12.3,1576.101698575065
8,12.4,1670.6115122257038
8,12.5,1667.8584545123108
8,12.600000000000001,1667.6167567042048
8,12.700000000000001,1671.7458086765066
8,12.8,1679.844836235569
8,12.9,1678.3412941195813
8,13.0,1666.6136424164872
8,13.100000000000001,1664.9271381103413
8,13.200000000000001,1680.8333842959705
8,13.3,1670.8629507613273
8,13.4,1685.1045394448893
8,13.5,1669.8019416676198
8,13.600000000000001,1654.4567651645125
8,13.700000000000001,1573.4692919364038
8,13.8,1475.4828652636404
8,13.9,1599.9901728865984
8,14.0,1657.61838928391
8,14.100000000000001,1729.89267362557
8,14.200000000000001,1967.2054389419234
8,14.3,1979.0090414878496
8,14.4,1645.187283303389
8,14.5,1661.202767668175
8,14.600000000000001,1664.9631151499407
8,14.700000000000001,1656.9842074953062
8,14.8,1674.0297227787746
8,14.9,1664.895296074287
8,15.0,1690.605493005235
8,15.100000000000001,1752.6424750388996
8,15.200000000000001,1714.0929704090236
8,15.3,1681.9528186952098
8,15.4,1666.5697603526621
8,15.5,1652.2615573601738
8,15.600000000000001,1655.076334106804
8,15.700000000000001,1665.5312376060963
8,15.8,1659.1332837700727
8,15.9,1660.8653478013468
8,16.0,1654.8261883059945
8,16.1,1576.0616714377932
8,16.2,1502.8190597046844
8,16.3,1669.3420120514309
8,16.400000000000002,1657.6377805888958
8,16.5,1670.1576962210515
8,16.6,1673.2456176541234
8,16.7,1675.319962356552
8,16.8,1673.6865329878212
8,16.900000000000002,1655.632231753573
8,17.0,1638.6366953272811
8,17.1,1656.453037107993
8,17.2,1656.1058875191225
8,17.3,1649.2133054703156
8,17.400000000000002,1633.1202670854086
8,17.5,1610.3443198527395
8,17.6,1677.0832924832544
8,17.7,1674.4861644945374
8,17.8,1672.4898211295597
8,17.900000000000002,1674.1267045810127
8,18.0,1665.9877169204376
8,18.1,1662.0868472182772
8,18.2,1656.2334466090024
8,18.3,1649.2358973343532
8,18.400000000000002,1644.2379288884129
8,18.5,1662.6745933309187
8,18.6,1676.6794300451072
8,18.7,1679.5027250088763
8,18.8,1628.1721980241607
8,18.900000000000002,1553.611630580181
8,19.0,1651.1095426231811
8,19.1,1681.0472262020278
8,19.200000000000003,1699.5658805244193
8,19.3,1689.159762277144
8,19.400000000000002,1676.9828038873677
8,19.5,1680.0176530987665
8,19.6,1680.3353621729557
8,19.700000000000003,1676.7368102085945
8,19.8,1670.3536258461907
8,19.900000000000002,1659.3451104911505
8,20.0,1664.9232220580736
8,20.1,1662.6509728748138
8,20.200000000000003,1688.5888810648523
8,20.3,1689.2041693011527
8,20.400000000000002,1623.0919688389213
8,20.5,1584.7615982138177
8,20.6,1681.9507360358186
8,20.700000000000003,1669.2944724719605
8,20.8,1681.882276490646
8,20.900000000000002,1662.932970375489
8,21.0,1665.9306306697008
8,21.1,1683.2719681202104
8,21.200000000000003,1677.4554453356843
8,21.3,1676.0154727025777
8,21.400000000000002,1673.5376749502577
8,21.5,1666.2489759521902
8,21.6,1875.8933150974563
8,21.700000000000003,2255.341978702525
8,21.8,1901.9702405471012
8,21.900000000000002,1715.4030167800897
8,22.0,1689.337716059561
8,22.1,1686.233298159246
8,22.200000000000003,1686.596997197289
8,22.3,1700.8607361106212
8,22.400000000000002,1688.310978188793
8,22.5,1663.6513199511992
8,22.6,1663.677922518569
8,22.700000000000003,1686.656902178642
8,22.8,1673.5948484641394
8,22.900000000000002,1678.169813857786
8,23.0,1677.9322769124092
8,23.1,1668.8631485213205
8,23.200000000000003,1671.588537943491
8,23.3,1685.0751918049507
8,23.400000000000002,1690.5330258052215
8,23.5,1676.8948970891
8,23.6,1675.8897344858406
8,23.700000000000003,1702.3667451828114
8,23.8,1669.491390650638
8,23.900000000000002,1668.0465754194413
8,24.0,1659.4123139179396
8,24.1,1668.5921095592914
8,24.200000000000003,1680.2680705767698
8,24.3,1683.363040814644
8,24.400000000000002,1682.053330765107
8,24.5,1671.8862726427908
8,24.6,1638.6208720220561
8,24.700000000000003,1698.712645919741
8,24.8,1683.0821637754298
8,24.900000000000002,1662.4822784786002
8,25.0,1682.4100987783172
8,25.1,1684.0495505504405
8,25.200000000000003,1694.2709034041357
8,25.3,1688.3154347510515
8,25.400000000000002,1682.1161311166502
8,25.5,1687.993255562201
