episode,timestep,ep_reward,ep_length,voltage,throughput,latency,switch,safe,max_undervoltage,max_overvoltage,mean_violation_frac
38,136762,-28.275591,3599,-12.055591487629801,0.0,0.0,-16.219999999999754,0.0,0.009992450619641047,0.003634642660113707,0.01879862461794943
39,140361,-26.313442,3599,-11.493442165386126,0.0,0.0,-14.819999999999757,0.0,0.00999238929785684,0.0036342195980303416,0.018025840511253124
40,143960,-25.800805,3599,-12.140805160401474,0.0,0.0,-13.659999999999782,0.0,0.00992014289725851,0.003634219598032118,0.018946235065295917
41,147559,-23.780092,3599,-11.670092020316108,0.0,0.0,-12.109999999999813,0.0,0.009992448758318506,0.0036343788649058073,0.017965059738816336
42,151158,-23.503065,3599,-12.56306492923842,0.0,0.0,-10.93999999999983,0.0,0.009992389303478344,0.003634219598032118,0.019232772992497916
43,154757,-22.772491,3599,-12.27249095206276,0.0,0.0,-10.499999999999844,0.0,0.009992389296002435,0.0036342195985772374,0.018668380105584886
44,158356,-20.565795,3599,-11.325795409543845,0.0,0.0,-9.239999999999865,0.0,0.009992389297855175,0.00363421889586224,0.017834815226451792
45,161955,-20.029796,3599,-11.18979625098556,0.0,0.0,-8.839999999999874,0.0,0.009992389297855175,0.0036342196089971246,0.017470130591831064
46,165554,-19.381011,3599,-11.531011478556115,0.0,0.0,-7.849999999999893,0.0,0.009992389297855175,0.0036342203588572985,0.018182133926090582
47,169153,-19.250474,3599,-11.83047417735849,0.0,0.0,-7.419999999999901,0.0,0.009992389297855175,0.003634220377954467,0.018633648235621005
48,172752,-18.273806,3599,-11.843805584966365,0.0,0.0,-6.429999999999915,0.0,0.009992389297855175,0.003634219598032118,0.0185207696582384
49,176351,-19.059562,3599,-12.299562067851364,0.0,0.0,-6.759999999999909,0.0,0.009992389297855175,0.003634219598032118,0.018746526813003612
50,179950,-17.139926,3599,-10.899926495685508,0.0,0.0,-6.239999999999922,0.0,0.009992389297855175,0.003634219598032118,0.017140177827174214
51,183549,-17.785841,3599,-11.06584084552308,0.0,0.0,-6.71999999999991,0.0,0.009992389297855175,0.003634219598032118,0.01731383717699361
52,187148,-16.786371,3599,-11.066370705388803,0.0,0.0,-5.719999999999932,0.0,0.009992389297855175,0.003634219598032118,0.017270422339538762
53,190747,-17.364834,3599,-11.78483449749782,0.0,0.0,-5.579999999999932,0.0,0.009992391173497706,0.003634156237690478,0.01825159766601834
54,194346,-17.252092,3599,-12.23209212373554,0.0,0.0,-5.0199999999999445,0.0,0.009992389298079551,0.003634219598032118,0.0188073075854404
55,197945,-15.689912,3599,-10.969912286075182,0.0,0.0,-4.719999999999956,0.0,0.009992389297855175,0.003634219598032118,0.017209641567101974
56,201544,-15.350927,3599,-11.23092729054439,0.0,0.0,-4.119999999999964,0.0,0.009992389297855175,0.003634219598032118,0.017374617949430397
